Year,YEAR,Crop,Precipitation,Temperature (Avg),Temperature (Max),Pesticide Usage,Fertilizer Usage,Yield
2020,2020-01-01,Asparagus,691.92,22.08,29.92,41681.11,2139664.12,94106
2016,2016-01-01,Avocados,801.73,21.75,29.36,47421.33,2186326.67,104652
2017,2017-01-01,Avocados,795.08,22.03,29.75,50801.94,2139573.61,107559
2018,2018-01-01,Avocados,783.02,21.66,29.18,53144.44,2140490.9,105852
2019,2019-01-01,Avocados,721.02,21.88,29.46,48989.2,2086911.73,106551
2020,2020-01-01,Avocados,691.92,22.08,29.92,41681.11,2139664.12,106667
2016,2016-01-01,Bananas,801.73,21.75,29.36,47421.33,2186326.67,304484
2017,2017-01-01,Bananas,795.08,22.03,29.75,50801.94,2139573.61,288656
2018,2018-01-01,Bananas,783.02,21.66,29.18,53144.44,2140490.9,299808
2019,2019-01-01,Bananas,721.02,21.88,29.46,48989.2,2086911.73,301470
2020,2020-01-01,Bananas,691.92,22.08,29.92,41681.11,2139664.12,308999
2016,2016-01-01,Barley,801.73,21.75,29.36,47421.33,2186326.67,29670
2017,2017-01-01,Barley,795.08,22.03,29.75,50801.94,2139573.61,28418
2018,2018-01-01,Barley,783.02,21.66,29.18,53144.44,2140490.9,28645
2019,2019-01-01,Barley,721.02,21.88,29.46,48989.2,2086911.73,26930
2020,2020-01-01,Barley,691.92,22.08,29.92,41681.11,2139664.12,29376
2016,2016-01-01,"Beans, dry",801.73,21.75,29.36,47421.33,2186326.67,6908
2017,2017-01-01,"Beans, dry",795.08,22.03,29.75,50801.94,2139573.61,7284
2018,2018-01-01,"Beans, dry",783.02,21.66,29.18,53144.44,2140490.9,7494
2019,2019-01-01,"Beans, dry",721.02,21.88,29.46,48989.2,2086911.73,7283
2020,2020-01-01,"Beans, dry",691.92,22.08,29.92,41681.11,2139664.12,6738
2016,2016-01-01,Blueberries,801.73,21.75,29.36,47421.33,2186326.67,98666
2017,2017-01-01,Blueberries,795.08,22.03,29.75,50801.94,2139573.61,110078
2018,2018-01-01,Blueberries,783.02,21.66,29.18,53144.44,2140490.9,111468
2019,2019-01-01,Blueberries,721.02,21.88,29.46,48989.2,2086911.73,113450
2020,2020-01-01,Blueberries,691.92,22.08,29.92,41681.11,2139664.12,109095
2016,2016-01-01,"Broad beans and horse beans, dry",801.73,21.75,29.36,47421.33,2186326.67,15546
2017,2017-01-01,"Broad beans and horse beans, dry",795.08,22.03,29.75,50801.94,2139573.61,15676
2018,2018-01-01,"Broad beans and horse beans, dry",783.02,21.66,29.18,53144.44,2140490.9,17503
2019,2019-01-01,"Broad beans and horse beans, dry",721.02,21.88,29.46,48989.2,2086911.73,14807
2020,2020-01-01,"Broad beans and horse beans, dry",691.92,22.08,29.92,41681.11,2139664.12,15878
2016,2016-01-01,"Broad beans and horse beans, green",801.73,21.75,29.36,47421.33,2186326.67,62714
2017,2017-01-01,"Broad beans and horse beans, green",795.08,22.03,29.75,50801.94,2139573.61,65648
2018,2018-01-01,"Broad beans and horse beans, green",783.02,21.66,29.18,53144.44,2140490.9,63718
2019,2019-01-01,"Broad beans and horse beans, green",721.02,21.88,29.46,48989.2,2086911.73,62986
2020,2020-01-01,"Broad beans and horse beans, green",691.92,22.08,29.92,41681.11,2139664.12,63456
2016,2016-01-01,Cabbages,801.73,21.75,29.36,47421.33,2186326.67,327881
2017,2017-01-01,Cabbages,795.08,22.03,29.75,50801.94,2139573.61,345765
2018,2018-01-01,Cabbages,783.02,21.66,29.18,53144.44,2140490.9,347520
2019,2019-01-01,Cabbages,721.02,21.88,29.46,48989.2,2086911.73,333583
2020,2020-01-01,Cabbages,691.92,22.08,29.92,41681.11,2139664.12,336091
2016,2016-01-01,Canary seed,801.73,21.75,29.36,47421.33,2186326.67,5000
2017,2017-01-01,Canary seed,795.08,22.03,29.75,50801.94,2139573.61,15000
2018,2018-01-01,Canary seed,783.02,21.66,29.18,53144.44,2140490.9,0
2019,2019-01-01,Canary seed,721.02,21.88,29.46,48989.2,2086911.73,20000
2020,2020-01-01,Canary seed,691.92,22.08,29.92,41681.11,2139664.12,10000
2016,2016-01-01,Cantaloupes and other melons,801.73,21.75,29.36,47421.33,2186326.67,296163
2017,2017-01-01,Cantaloupes and other melons,795.08,22.03,29.75,50801.94,2139573.61,309168
2018,2018-01-01,Cantaloupes and other melons,783.02,21.66,29.18,53144.44,2140490.9,313628
2019,2019-01-01,Cantaloupes and other melons,721.02,21.88,29.46,48989.2,2086911.73,316128
2020,2020-01-01,Cantaloupes and other melons,691.92,22.08,29.92,41681.11,2139664.12,320642
2016,2016-01-01,Carrots and turnips,801.73,21.75,29.36,47421.33,2186326.67,281392
2017,2017-01-01,Carrots and turnips,795.08,22.03,29.75,50801.94,2139573.61,290346
2018,2018-01-01,Carrots and turnips,783.02,21.66,29.18,53144.44,2140490.9,301384
2019,2019-01-01,Carrots and turnips,721.02,21.88,29.46,48989.2,2086911.73,301064
2020,2020-01-01,Carrots and turnips,691.92,22.08,29.92,41681.11,2139664.12,298118
2016,2016-01-01,"Cashew nuts, in shell",801.73,21.75,29.36,47421.33,2186326.67,24969
2017,2017-01-01,"Cashew nuts, in shell",795.08,22.03,29.75,50801.94,2139573.61,26547
2018,2018-01-01,"Cashew nuts, in shell",783.02,21.66,29.18,53144.44,2140490.9,25060
2019,2019-01-01,"Cashew nuts, in shell",721.02,21.88,29.46,48989.2,2086911.73,26590
2020,2020-01-01,"Cashew nuts, in shell",691.92,22.08,29.92,41681.11,2139664.12,25869
2016,2016-01-01,"Cassava, fresh",801.73,21.75,29.36,47421.33,2186326.67,122464
2017,2017-01-01,"Cassava, fresh",795.08,22.03,29.75,50801.94,2139573.61,125755
2018,2018-01-01,"Cassava, fresh",783.02,21.66,29.18,53144.44,2140490.9,130120
2019,2019-01-01,"Cassava, fresh",721.02,21.88,29.46,48989.2,2086911.73,129238
2020,2020-01-01,"Cassava, fresh",691.92,22.08,29.92,41681.11,2139664.12,126762
2016,2016-01-01,Castor oil seeds,801.73,21.75,29.36,47421.33,2186326.67,14077
2017,2017-01-01,Castor oil seeds,795.08,22.03,29.75,50801.94,2139573.61,19672
2018,2018-01-01,Castor oil seeds,783.02,21.66,29.18,53144.44,2140490.9,27647
2019,2019-01-01,Castor oil seeds,721.02,21.88,29.46,48989.2,2086911.73,35000
2020,2020-01-01,Castor oil seeds,691.92,22.08,29.92,41681.11,2139664.12,32770
2016,2016-01-01,Cauliflowers and broccoli,801.73,21.75,29.36,47421.33,2186326.67,163967
2017,2017-01-01,Cauliflowers and broccoli,795.08,22.03,29.75,50801.94,2139573.61,176912
2018,2018-01-01,Cauliflowers and broccoli,783.02,21.66,29.18,53144.44,2140490.9,182871
2019,2019-01-01,Cauliflowers and broccoli,721.02,21.88,29.46,48989.2,2086911.73,184879
2020,2020-01-01,Cauliflowers and broccoli,691.92,22.08,29.92,41681.11,2139664.12,179136
2016,2016-01-01,Cereals n.e.c.,801.73,21.75,29.36,47421.33,2186326.67,13316
2017,2017-01-01,Cereals n.e.c.,795.08,22.03,29.75,50801.94,2139573.61,15747
2018,2018-01-01,Cereals n.e.c.,783.02,21.66,29.18,53144.44,2140490.9,20031
2019,2019-01-01,Cereals n.e.c.,721.02,21.88,29.46,48989.2,2086911.73,17381
2020,2020-01-01,Cereals n.e.c.,691.92,22.08,29.92,41681.11,2139664.12,19363
2016,2016-01-01,Cherries,801.73,21.75,29.36,47421.33,2186326.67,37636
2017,2017-01-01,Cherries,795.08,22.03,29.75,50801.94,2139573.61,23226
2018,2018-01-01,Cherries,783.02,21.66,29.18,53144.44,2140490.9,37083
2019,2019-01-01,Cherries,721.02,21.88,29.46,48989.2,2086911.73,23590
2020,2020-01-01,Cherries,691.92,22.08,29.92,41681.11,2139664.12,30000
2016,2016-01-01,"Chick peas, dry",801.73,21.75,29.36,47421.33,2186326.67,18331
2017,2017-01-01,"Chick peas, dry",795.08,22.03,29.75,50801.94,2139573.61,19181
2018,2018-01-01,"Chick peas, dry",783.02,21.66,29.18,53144.44,2140490.9,18099
2019,2019-01-01,"Chick peas, dry",721.02,21.88,29.46,48989.2,2086911.73,21170
2020,2020-01-01,"Chick peas, dry",691.92,22.08,29.92,41681.11,2139664.12,20169
2016,2016-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",801.73,21.75,29.36,47421.33,2186326.67,18832
2017,2017-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",795.08,22.03,29.75,50801.94,2139573.61,19182
2018,2018-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",783.02,21.66,29.18,53144.44,2140490.9,19451
2019,2019-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",721.02,21.88,29.46,48989.2,2086911.73,19181
2020,2020-01-01,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",691.92,22.08,29.92,41681.11,2139664.12,19325
2016,2016-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",801.73,21.75,29.36,47421.33,2186326.67,160874
2017,2017-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",795.08,22.03,29.75,50801.94,2139573.61,205492
2018,2018-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",783.02,21.66,29.18,53144.44,2140490.9,215517
2019,2019-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",721.02,21.88,29.46,48989.2,2086911.73,216494
2020,2020-01-01,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",691.92,22.08,29.92,41681.11,2139664.12,178483
2016,2016-01-01,Cocoa beans,801.73,21.75,29.36,47421.33,2186326.67,4574
2017,2017-01-01,Cocoa beans,795.08,22.03,29.75,50801.94,2139573.61,4649
2018,2018-01-01,Cocoa beans,783.02,21.66,29.18,53144.44,2140490.9,4866
2019,2019-01-01,Cocoa beans,721.02,21.88,29.46,48989.2,2086911.73,4861
2020,2020-01-01,Cocoa beans,691.92,22.08,29.92,41681.11,2139664.12,5022
2016,2016-01-01,"Coconuts, in shell",801.73,21.75,29.36,47421.33,2186326.67,74494
2017,2017-01-01,"Coconuts, in shell",795.08,22.03,29.75,50801.94,2139573.61,74316
2018,2018-01-01,"Coconuts, in shell",783.02,21.66,29.18,53144.44,2140490.9,74616
2019,2019-01-01,"Coconuts, in shell",721.02,21.88,29.46,48989.2,2086911.73,73006
2020,2020-01-01,"Coconuts, in shell",691.92,22.08,29.92,41681.11,2139664.12,72152
2016,2016-01-01,"Coffee, green",801.73,21.75,29.36,47421.33,2186326.67,2350
2017,2017-01-01,"Coffee, green",795.08,22.03,29.75,50801.94,2139573.61,2408
2018,2018-01-01,"Coffee, green",783.02,21.66,29.18,53144.44,2140490.9,2514
2019,2019-01-01,"Coffee, green",721.02,21.88,29.46,48989.2,2086911.73,2633
2020,2020-01-01,"Coffee, green",691.92,22.08,29.92,41681.11,2139664.12,2760
2016,2016-01-01,Cucumbers and gherkins,801.73,21.75,29.36,47421.33,2186326.67,476412
2017,2017-01-01,Cucumbers and gherkins,795.08,22.03,29.75,50801.94,2139573.61,473739
2018,2018-01-01,Cucumbers and gherkins,783.02,21.66,29.18,53144.44,2140490.9,547047
2019,2019-01-01,Cucumbers and gherkins,721.02,21.88,29.46,48989.2,2086911.73,512867
2020,2020-01-01,Cucumbers and gherkins,691.92,22.08,29.92,41681.11,2139664.12,736840
2016,2016-01-01,Dates,801.73,21.75,29.36,47421.33,2186326.67,68352
2017,2017-01-01,Dates,795.08,22.03,29.75,50801.94,2139573.61,59659
2018,2018-01-01,Dates,783.02,21.66,29.18,53144.44,2140490.9,56872
2019,2019-01-01,Dates,721.02,21.88,29.46,48989.2,2086911.73,69898
2020,2020-01-01,Dates,691.92,22.08,29.92,41681.11,2139664.12,65924
2016,2016-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",801.73,21.75,29.36,47421.33,2186326.67,299934
2017,2017-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",795.08,22.03,29.75,50801.94,2139573.61,296669
2018,2018-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",783.02,21.66,29.18,53144.44,2140490.9,302297
2019,2019-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",721.02,21.88,29.46,48989.2,2086911.73,279949
2020,2020-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",691.92,22.08,29.92,41681.11,2139664.12,276880
2016,2016-01-01,Eggplants (aubergines),801.73,21.75,29.36,47421.33,2186326.67,674420
2017,2017-01-01,Eggplants (aubergines),795.08,22.03,29.75,50801.94,2139573.61,726413
2018,2018-01-01,Eggplants (aubergines),783.02,21.66,29.18,53144.44,2140490.9,771056
2019,2019-01-01,Eggplants (aubergines),721.02,21.88,29.46,48989.2,2086911.73,793973
2020,2020-01-01,Eggplants (aubergines),691.92,22.08,29.92,41681.11,2139664.12,666637
2016,2016-01-01,Figs,801.73,21.75,29.36,47421.33,2186326.67,52903
2017,2017-01-01,Figs,795.08,22.03,29.75,50801.94,2139573.61,56708
2018,2018-01-01,Figs,783.02,21.66,29.18,53144.44,2140490.9,64531
2019,2019-01-01,Figs,721.02,21.88,29.46,48989.2,2086911.73,71604
2020,2020-01-01,Figs,691.92,22.08,29.92,41681.11,2139664.12,65165
2016,2016-01-01,"Ginger, raw",801.73,21.75,29.36,47421.33,2186326.67,88130
2017,2017-01-01,"Ginger, raw",795.08,22.03,29.75,50801.94,2139573.61,85596
2018,2018-01-01,"Ginger, raw",783.02,21.66,29.18,53144.44,2140490.9,100332
2019,2019-01-01,"Ginger, raw",721.02,21.88,29.46,48989.2,2086911.73,103763
2020,2020-01-01,"Ginger, raw",691.92,22.08,29.92,41681.11,2139664.12,90452
2016,2016-01-01,Grapes,801.73,21.75,29.36,47421.33,2186326.67,130146
2017,2017-01-01,Grapes,795.08,22.03,29.75,50801.94,2139573.61,146626
2018,2018-01-01,Grapes,783.02,21.66,29.18,53144.44,2140490.9,140006
2019,2019-01-01,Grapes,721.02,21.88,29.46,48989.2,2086911.73,149086
2020,2020-01-01,Grapes,691.92,22.08,29.92,41681.11,2139664.12,127806
2016,2016-01-01,Green corn (maize),801.73,21.75,29.36,47421.33,2186326.67,127882
2017,2017-01-01,Green corn (maize),795.08,22.03,29.75,50801.94,2139573.61,153713
2018,2018-01-01,Green corn (maize),783.02,21.66,29.18,53144.44,2140490.9,156596
2019,2019-01-01,Green corn (maize),721.02,21.88,29.46,48989.2,2086911.73,150906
2020,2020-01-01,Green corn (maize),691.92,22.08,29.92,41681.11,2139664.12,145982
2016,2016-01-01,Green garlic,801.73,21.75,29.36,47421.33,2186326.67,118047
2017,2017-01-01,Green garlic,795.08,22.03,29.75,50801.94,2139573.61,124449
2018,2018-01-01,Green garlic,783.02,21.66,29.18,53144.44,2140490.9,128868
2019,2019-01-01,Green garlic,721.02,21.88,29.46,48989.2,2086911.73,121801
2020,2020-01-01,Green garlic,691.92,22.08,29.92,41681.11,2139664.12,127802
2016,2016-01-01,"Groundnuts, excluding shelled",801.73,21.75,29.36,47421.33,2186326.67,17057
2017,2017-01-01,"Groundnuts, excluding shelled",795.08,22.03,29.75,50801.94,2139573.61,16984
2018,2018-01-01,"Groundnuts, excluding shelled",783.02,21.66,29.18,53144.44,2140490.9,17505
2019,2019-01-01,"Groundnuts, excluding shelled",721.02,21.88,29.46,48989.2,2086911.73,17128
2020,2020-01-01,"Groundnuts, excluding shelled",691.92,22.08,29.92,41681.11,2139664.12,16982
2016,2016-01-01,Jojoba seeds,801.73,21.75,29.36,47421.33,2186326.67,4816
2017,2017-01-01,Jojoba seeds,795.08,22.03,29.75,50801.94,2139573.61,4790
2018,2018-01-01,Jojoba seeds,783.02,21.66,29.18,53144.44,2140490.9,4950
2019,2019-01-01,Jojoba seeds,721.02,21.88,29.46,48989.2,2086911.73,4934
2020,2020-01-01,Jojoba seeds,691.92,22.08,29.92,41681.11,2139664.12,4900
2016,2016-01-01,Leeks and other alliaceous vegetables,801.73,21.75,29.36,47421.33,2186326.67,169676
2017,2017-01-01,Leeks and other alliaceous vegetables,795.08,22.03,29.75,50801.94,2139573.61,169038
2018,2018-01-01,Leeks and other alliaceous vegetables,783.02,21.66,29.18,53144.44,2140490.9,169326
2019,2019-01-01,Leeks and other alliaceous vegetables,721.02,21.88,29.46,48989.2,2086911.73,169540
2020,2020-01-01,Leeks and other alliaceous vegetables,691.92,22.08,29.92,41681.11,2139664.12,169209
2016,2016-01-01,Lemons and limes,801.73,21.75,29.36,47421.33,2186326.67,148645
2017,2017-01-01,Lemons and limes,795.08,22.03,29.75,50801.94,2139573.61,146769
2018,2018-01-01,Lemons and limes,783.02,21.66,29.18,53144.44,2140490.9,144907
2019,2019-01-01,Lemons and limes,721.02,21.88,29.46,48989.2,2086911.73,147178
2020,2020-01-01,Lemons and limes,691.92,22.08,29.92,41681.11,2139664.12,153563
2016,2016-01-01,"Lentils, dry",801.73,21.75,29.36,47421.33,2186326.67,7482
2017,2017-01-01,"Lentils, dry",795.08,22.03,29.75,50801.94,2139573.61,10446
2018,2018-01-01,"Lentils, dry",783.02,21.66,29.18,53144.44,2140490.9,11090
2019,2019-01-01,"Lentils, dry",721.02,21.88,29.46,48989.2,2086911.73,11542
2020,2020-01-01,"Lentils, dry",691.92,22.08,29.92,41681.11,2139664.12,10858
2016,2016-01-01,Lettuce and chicory,801.73,21.75,29.36,47421.33,2186326.67,219192
2017,2017-01-01,Lettuce and chicory,795.08,22.03,29.75,50801.94,2139573.61,228630
2018,2018-01-01,Lettuce and chicory,783.02,21.66,29.18,53144.44,2140490.9,236976
2019,2019-01-01,Lettuce and chicory,721.02,21.88,29.46,48989.2,2086911.73,248170
2020,2020-01-01,Lettuce and chicory,691.92,22.08,29.92,41681.11,2139664.12,243289
2016,2016-01-01,Linseed,801.73,21.75,29.36,47421.33,2186326.67,5000
2017,2017-01-01,Linseed,795.08,22.03,29.75,50801.94,2139573.61,10000
2018,2018-01-01,Linseed,783.02,21.66,29.18,53144.44,2140490.9,8000
2019,2019-01-01,Linseed,721.02,21.88,29.46,48989.2,2086911.73,8889
2020,2020-01-01,Linseed,691.92,22.08,29.92,41681.11,2139664.12,7500
2018,2018-01-01,Locust beans (carobs),783.02,21.66,29.18,53144.44,2140490.9,39474
2019,2019-01-01,Locust beans (carobs),721.02,21.88,29.46,48989.2,2086911.73,39545
2020,2020-01-01,Locust beans (carobs),691.92,22.08,29.92,41681.11,2139664.12,39176
2016,2016-01-01,Maize (corn),801.73,21.75,29.36,47421.33,2186326.67,37180
2017,2017-01-01,Maize (corn),795.08,22.03,29.75,50801.94,2139573.61,37888
2018,2018-01-01,Maize (corn),783.02,21.66,29.18,53144.44,2140490.9,38146
2019,2019-01-01,Maize (corn),721.02,21.88,29.46,48989.2,2086911.73,40697
2020,2020-01-01,Maize (corn),691.92,22.08,29.92,41681.11,2139664.12,38322
2016,2016-01-01,"Mangoes, guavas and mangosteens",801.73,21.75,29.36,47421.33,2186326.67,106447
2017,2017-01-01,"Mangoes, guavas and mangosteens",795.08,22.03,29.75,50801.94,2139573.61,108287
2018,2018-01-01,"Mangoes, guavas and mangosteens",783.02,21.66,29.18,53144.44,2140490.9,103421
2019,2019-01-01,"Mangoes, guavas and mangosteens",721.02,21.88,29.46,48989.2,2086911.73,110966
2020,2020-01-01,"Mangoes, guavas and mangosteens",691.92,22.08,29.92,41681.11,2139664.12,111083
2016,2016-01-01,Melonseed,801.73,21.75,29.36,47421.33,2186326.67,3846
2017,2017-01-01,Melonseed,795.08,22.03,29.75,50801.94,2139573.61,4167
2018,2018-01-01,Melonseed,783.02,21.66,29.18,53144.44,2140490.9,4000
2019,2019-01-01,Melonseed,721.02,21.88,29.46,48989.2,2086911.73,4000
2020,2020-01-01,Melonseed,691.92,22.08,29.92,41681.11,2139664.12,4167
2016,2016-01-01,Millet,801.73,21.75,29.36,47421.33,2186326.67,135000
2018,2018-01-01,Millet,783.02,21.66,29.18,53144.44,2140490.9,157857
2019,2019-01-01,Millet,721.02,21.88,29.46,48989.2,2086911.73,138000
2020,2020-01-01,Millet,691.92,22.08,29.92,41681.11,2139664.12,146842
2016,2016-01-01,Mustard seed,801.73,21.75,29.36,47421.33,2186326.67,6667
2016,2016-01-01,Natural rubber in primary forms,801.73,21.75,29.36,47421.33,2186326.67,26993
2017,2017-01-01,Natural rubber in primary forms,795.08,22.03,29.75,50801.94,2139573.61,26790
2018,2018-01-01,Natural rubber in primary forms,783.02,21.66,29.18,53144.44,2140490.9,29870
2019,2019-01-01,Natural rubber in primary forms,721.02,21.88,29.46,48989.2,2086911.73,29359
2020,2020-01-01,Natural rubber in primary forms,691.92,22.08,29.92,41681.11,2139664.12,28062
2016,2016-01-01,Oats,801.73,21.75,29.36,47421.33,2186326.67,18536
2017,2017-01-01,Oats,795.08,22.03,29.75,50801.94,2139573.61,16646
2018,2018-01-01,Oats,783.02,21.66,29.18,53144.44,2140490.9,19896
2019,2019-01-01,Oats,721.02,21.88,29.46,48989.2,2086911.73,20719
2020,2020-01-01,Oats,691.92,22.08,29.92,41681.11,2139664.12,22489
2016,2016-01-01,Oil palm fruit,801.73,21.75,29.36,47421.33,2186326.67,128858
2017,2017-01-01,Oil palm fruit,795.08,22.03,29.75,50801.94,2139573.61,132743
2018,2018-01-01,Oil palm fruit,783.02,21.66,29.18,53144.44,2140490.9,135044
2019,2019-01-01,Oil palm fruit,721.02,21.88,29.46,48989.2,2086911.73,139625
2020,2020-01-01,Oil palm fruit,691.92,22.08,29.92,41681.11,2139664.12,136702
2016,2016-01-01,Okra,801.73,21.75,29.36,47421.33,2186326.67,86303
2017,2017-01-01,Okra,795.08,22.03,29.75,50801.94,2139573.61,94173
2018,2018-01-01,Okra,783.02,21.66,29.18,53144.44,2140490.9,96268
2019,2019-01-01,Okra,721.02,21.88,29.46,48989.2,2086911.73,96209
2020,2020-01-01,Okra,691.92,22.08,29.92,41681.11,2139664.12,94309
2016,2016-01-01,Olives,801.73,21.75,29.36,47421.33,2186326.67,42501
2017,2017-01-01,Olives,795.08,22.03,29.75,50801.94,2139573.61,42519
2018,2018-01-01,Olives,783.02,21.66,29.18,53144.44,2140490.9,29052
2019,2019-01-01,Olives,721.02,21.88,29.46,48989.2,2086911.73,46560
2020,2020-01-01,Olives,691.92,22.08,29.92,41681.11,2139664.12,32427
2016,2016-01-01,"Onions and shallots, dry (excluding dehydrated)",801.73,21.75,29.36,47421.33,2186326.67,317461
2017,2017-01-01,"Onions and shallots, dry (excluding dehydrated)",795.08,22.03,29.75,50801.94,2139573.61,313614
2018,2018-01-01,"Onions and shallots, dry (excluding dehydrated)",783.02,21.66,29.18,53144.44,2140490.9,313468
2019,2019-01-01,"Onions and shallots, dry (excluding dehydrated)",721.02,21.88,29.46,48989.2,2086911.73,310123
2020,2020-01-01,"Onions and shallots, dry (excluding dehydrated)",691.92,22.08,29.92,41681.11,2139664.12,308411
2016,2016-01-01,"Onions and shallots, green",801.73,21.75,29.36,47421.33,2186326.67,115568
2017,2017-01-01,"Onions and shallots, green",795.08,22.03,29.75,50801.94,2139573.61,115473
2018,2018-01-01,"Onions and shallots, green",783.02,21.66,29.18,53144.44,2140490.9,115428
2019,2019-01-01,"Onions and shallots, green",721.02,21.88,29.46,48989.2,2086911.73,115494
2020,2020-01-01,"Onions and shallots, green",691.92,22.08,29.92,41681.11,2139664.12,115456
2016,2016-01-01,Oranges,801.73,21.75,29.36,47421.33,2186326.67,146326
2017,2017-01-01,Oranges,795.08,22.03,29.75,50801.94,2139573.61,144322
2018,2018-01-01,Oranges,783.02,21.66,29.18,53144.44,2140490.9,145031
2019,2019-01-01,Oranges,721.02,21.88,29.46,48989.2,2086911.73,143728
2020,2020-01-01,Oranges,691.92,22.08,29.92,41681.11,2139664.12,141832
2016,2016-01-01,"Other beans, green",801.73,21.75,29.36,47421.33,2186326.67,90729
2017,2017-01-01,"Other beans, green",795.08,22.03,29.75,50801.94,2139573.61,96234
2018,2018-01-01,"Other beans, green",783.02,21.66,29.18,53144.44,2140490.9,103240
2019,2019-01-01,"Other beans, green",721.02,21.88,29.46,48989.2,2086911.73,95958
2020,2020-01-01,"Other beans, green",691.92,22.08,29.92,41681.11,2139664.12,97510
2016,2016-01-01,Other berries and fruits of the genus vaccinium n.e.c.,801.73,21.75,29.36,47421.33,2186326.67,191709
2017,2017-01-01,Other berries and fruits of the genus vaccinium n.e.c.,795.08,22.03,29.75,50801.94,2139573.61,215269
2018,2018-01-01,Other berries and fruits of the genus vaccinium n.e.c.,783.02,21.66,29.18,53144.44,2140490.9,218114
2019,2019-01-01,Other berries and fruits of the genus vaccinium n.e.c.,721.02,21.88,29.46,48989.2,2086911.73,231026
2020,2020-01-01,Other berries and fruits of the genus vaccinium n.e.c.,691.92,22.08,29.92,41681.11,2139664.12,226004
2016,2016-01-01,"Other citrus fruit, n.e.c.",801.73,21.75,29.36,47421.33,2186326.67,44445
